,Country,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
16,Bangladesh,BGD,860.21051,899.1421235,948.2721469,994.6737327,1033.086949,1085.349904,1130.860059,1176.895726,1226.020893,1275.738234,1346.743205,1419.137782,1469.845761,1541.185923,1638.916165,1773.888588,1923.417573,2088.720935,2231.689464,2335.918717,2466.902949,2650.729933,2844.702565,3033.404632,3240.885623,3451.398507,3696.776193,3998.419424,4371.754986,
17,Bulgaria,BGR,7493.206899,7162.974001,6866.765558,6980.869912,7284.255361,7683.853685,6779.308032,5696.765277,6141.212577,5767.167926,6377.837474,6908.956055,7726.400977,8343.138854,9122.849554,10211.27988,11313.55081,12800.81668,14328.98986,14146.1069,14934.13274,15676.13334,16208.22043,16571.02876,17534.30326,18186.48723,19500.32945,20948.19428,21960.36994,
18,Bahrain,BHR,22786.05097,25491.20716,27107.71135,30554.78561,30371.76011,31420.32574,32448.98025,33099.13889,34002.2607,34685.45229,35763.21023,35689.48306,35551.58974,36338.58416,37461.93299,38492.09419,39170.68512,40300.17978,40565.77983,39422.3421,39740.61794,40168.32789,41753.10138,44273.42185,46331.98242,46911.96227,47215.78618,47660.71731,47303.04851,
20,Bosnia and Herzegovina,BIH,,,,,952.9039071,1208.231554,2364.760787,3257.328337,3809.619706,4225.42415,4547.97267,4751.117361,5136.520313,5373.142659,6200.620711,6479.660192,7406.347448,8188.589841,9028.865381,9030.464332,9347.583517,9976.479662,10304.01646,11016.58285,11433.16053,12013.9825,12824.03613,13735.0785,14623.67405,
21,Belarus,BLR,5429.321055,5542.852529,5113.892295,4826.324636,4357.753957,3999.324127,4200.594883,4780.387121,5265.243908,5546.145097,6027.325186,6483.761082,6962.798228,7644.927706,8809.526945,10005.93725,11409.2556,12781.80909,14409.22188,14580.5808,15927.8747,17166.69564,17807.41774,18298.84706,18949.88244,18389.74375,18098.42286,18915.93989,19994.80408,
22,Belize,BLZ,3262.195857,3688.808293,4158.325793,4448.496513,4459.119741,4464.989452,4467.048793,4537.058141,4580.641476,4869.777424,5437.384498,5658.088689,5873.411376,6369.457477,6669.721807,6873.415769,7214.467355,7297.398433,7484.370023,7403.044146,7555.204308,7694.355111,7886.901934,7913.061672,8179.45644,8371.374376,8242.629592,8352.944346,8648.0888,
24,Bolivia,BOL,2402.712724,2560.109653,2606.011168,2723.858298,2851.833502,2985.649937,3108.910438,3253.047509,3387.130919,3383.709596,3478.202471,3546.116063,3623.09177,3721.055939,3909.065039,4134.616513,4386.565455,4629.682798,4925.91967,5045.331273,5228.115329,5524.717798,5825.139985,6231.296345,6593.232982,6882.488916,7147.83921,7480.077141,7873.166243,
25,Brazil,BRA,6710.964526,6919.981067,6925.379871,7297.683777,7723.899622,8102.66855,8300.244709,8594.561343,8588.358096,8624.437256,9073.976905,9274.24759,9581.992836,9747.941038,10460.55063,11004.95618,11659.39278,12568.1979,13332.14386,13288.43548,14320.36869,15061.95319,15506.55426,16111.44268,16358.39077,15813.85544,15331.54852,15662.24047,16096.40096,
28,Bhutan,BTN,1527.318005,1561.268532,1670.680164,1750.523298,1878.897652,2043.535699,2168.991473,2281.792061,2389.082202,2555.91735,2640.679535,2865.296749,3161.84584,3406.512427,3641.685222,3968.817637,4317.784502,5181.00986,5472.363625,5822.685951,6517.066344,7097.18994,7513.686888,7712.881979,8108.300979,8705.598204,9392.257873,9860.605042,10167.93406,
29,Botswana,BWA,5516.982749,5946.129686,6088.138275,6190.382225,6392.272416,6818.180804,7174.163728,7722.300075,7667.659791,8347.874331,8528.969125,8574.343766,9076.228393,9506.492466,9849.796995,10421.37193,11401.3476,12409.29787,13158.84871,12007.23239,12964.35144,13838.60282,14558.06641,16310.10289,17092.12224,16724.51778,17314.77444,17784.84904,18615.79334,
31,Canada,CAN,20173.93565,20160.72885,20557.46336,21367.20327,22555.69744,23401.87468,23962.49945,25167.51971,26220.26621,27745.80655,29265.08444,30107.65694,30853.20132,32225.05212,33796.9992,36211.0846,37999.0386,39439.80689,40275.9899,38797.38505,40012.3914,41569.44962,42189.19611,44188.73171,45645.5643,44567.86635,45011.64317,46723.31776,48130.25597,
33,Switzerland,CHE,27594.63205,27915.47156,28226.22674,28596.95284,29343.63158,29902.5187,30542.05743,31812.49876,32918.55657,33814.11454,35754.54761,36778.01064,37718.28483,37713.3375,39170.03225,40572.26448,45106.41668,49746.38939,52584.72681,51769.03029,53067.72464,56183.82162,57849.57204,60108.52002,61902.12954,63938.98939,64323.92524,66395.85634,68060.94105,
34,Chile,CHL,4511.170059,4952.538507,5622.777359,6119.380168,6568.780825,7351.828808,8011.571183,8637.330741,8995.76512,8977.117402,9553.566623,9972.651027,10333.06363,10841.32389,11812.63501,12746.58339,15753.96299,16941.83598,16501.80692,16159.60523,18161.80392,20342.57092,21507.7074,22439.27836,22786.6556,22688.01003,22874.14942,24248.86076,25222.52778,
35,China,CHN,987.6411788,1100.814276,1270.296992,1463.801748,1671.200917,1872.606651,2074.36167,2281.443841,2464.186352,2668.230229,2936.287745,3227.419438,3553.923793,3958.471977,4449.561919,5081.049041,5867.796877,6847.069623,7615.029533,8352.689933,9303.7337,10355.49571,11328.28171,12361.39797,13446.40239,14454.99797,15513.27304,16782.20776,18236.61298,
37,Cameroon,CMR,1949.280614,1881.304376,1810.590723,1658.104401,1681.521961,1728.152257,1787.794433,1863.91245,1919.008934,1978.033283,2039.934284,2119.058927,2184.982452,2265.805853,2418.58814,2476.299312,2568.442478,2691.89729,2762.942018,2767.974836,2817.572722,2914.237667,3021.4092,3153.682358,3311.734005,3442.73448,3546.54456,3644.801096,3785.079978,
40,Colombia,COL,5015.546448,5186.207756,5412.45975,5727.814571,6074.702868,6406.061853,6539.866367,6762.755772,6763.010234,6465.193665,6694.81285,6848.278541,7022.739601,7324.400853,7811.230086,8320.569299,9036.314249,9792.902952,10188.01706,10274.48986,10732.74905,11650.19949,12226.28584,12891.37931,13618.12436,14006.15358,14259.6093,14507.26125,15012.93027,
41,Comoros,COM,1674.552638,1590.333393,1714.471284,1756.240015,1651.298213,1698.591331,1661.112321,1711.188076,1706.963659,1720.001825,1900.656026,1939.276549,1967.64432,1998.168463,2042.269826,2114.657068,2183.490414,2206.559329,2283.896913,2318.430196,2376.538886,2465.324918,2531.037977,2627.3439,2668.895231,2664.270877,2719.296174,2812.034747,2913.387306,
43,Costa Rica,CRI,5025.561226,5176.081213,5632.389804,6017.436804,6261.052379,6493.03982,6533.764943,6852.944809,7247.010945,7481.172756,7787.377759,8089.579389,8349.671125,8732.228946,9220.889154,9737.088813,10609.50688,11625.93049,12240.57907,12058.52382,12644.69665,13302.92828,14041.99378,14445.89836,15067.31118,15610.87955,16278.6019,16976.18742,17671.09535,
46,Cyprus,CYP,13327.69096,13525.60265,14736.88893,14829.18793,15711.12072,17069.64457,17297.51027,17778.82111,18758.50104,19662.68242,21291.43211,22871.52603,23556.26141,24252.82356,25921.20781,27763.21009,29984.36507,32849.77692,34830.3699,33891.67453,33421.04262,33313.53723,31834.49956,30375.21718,30042.81289,31722.36651,34379.46437,36875.12739,38513.28457,
47,Czech Republic,CZE,12659.85231,11595.61886,11787.73981,12061.94922,12673.35194,13752.51401,14583.43317,14730.61502,14906.39822,15324.10643,16190.80503,17554.48772,18189.23435,19426.08513,20799.15764,21956.38386,23776.48706,26124.89545,27844.79533,27599.30086,27667.4329,28797.41796,29047.24644,30485.71415,32263.31575,33691.42424,35230.52246,38019.58051,39743.59709,
